Model_name,Year_model,Manufacturer,Car_name,Type,Condition,Distance,Color,Body_type,Fuel_type,Engine_cc,Price
مرسيدس E300 2025,2025,مرسيدس,E300,أوتوماتيك,جديدة,0,Black,Sedan,Gas,2000.0,5890000
ميتسوبيشي اكليبس كروس 2025,2025,ميتسوبيشي,اكليبس كروس,أوتوماتيك,مستعملة,18000,Black,SUV,Gas,1500.0,1550000
بيجو 301 2015,2015,بيجو,301,أوتوماتيك,مستعملة,160000,Silver,Sedan,Gas,1600.0,460000
أودي A6 2023,2023,أودي,A6,أوتوماتيك,مستعملة,45000,Black,Sedan,Gas,2000.0,3200000
بورش ماكان 2026,2026,بورش,ماكان,أوتوماتيك,جديدة,0,Black,SUV,Gas,2000.0,5650000
فيات تيبو 2022,2022,فيات,تيبو,أوتوماتيك,مستعملة,35000,Gray,Sedan,Diesel,1600.0,900000
بي واى دى F3 2015,2015,بي واى دى,F3,مانيوال,مستعملة,250000,White,Sedan,Gas,1600.0,325000
مرسيدس CLA 200 2020,2020,مرسيدس,CLA 200,أوتوماتيك,مستعملة,108000,Gray,Sedan,Gas,1300.0,2180000
بيجو 5008 2020,2020,بيجو,5008,أوتوماتيك,مستعملة,20000,Gray,SUV,Gas,1600.0,1700000
بورش كايين S 2020,2020,بورش,كايين S,أوتوماتيك,مستعملة,43000,Dark Grey,SUV,Gas,2900.0,5750000
بي ام دبليو 318i 2017,2017,بي ام دبليو,318i,أوتوماتيك,مستعملة,90000,Gray,Sedan,Gas,1600.0,1350000
بي ام دبليو X6 2019,2019,بي ام دبليو,X6,أوتوماتيك,مستعملة,67000,Black,SUV,Gas,4400.0,3200000
فولكس فاجن جولف 2012,2012,فولكس فاجن,جولف,أوتوماتيك,مستعملة,120000,Red,Hatchback,Gas,2000.0,760000
مرسيدس C180 2013,2013,مرسيدس,C180,أوتوماتيك,مستعملة,140000,Black,Sedan,Gas,1600.0,1190000
شيفروليه كابتيفا 2011,2011,شيفروليه,كابتيفا,أوتوماتيك,مستعملة,200000,Gray,Hatchback,Gas,3200.0,600000
مرسيدس GLC 200 2025,2025,مرسيدس,GLC 200,أوتوماتيك,جديدة,0,Black,SUV,Gas,2000.0,5100000
مرسيدس C180 2026,2026,مرسيدس,C180,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,3750000
بي ام دبليو 320i 2016,2016,بي ام دبليو,320i,أوتوماتيك,مستعملة,140000,Brown,Sedan,Gas,2000.0,1550000
بي ام دبليو 118i 2021,2021,بي ام دبليو,118i,أوتوماتيك,مستعملة,47000,Blue,Hatchback,Gas,1500.0,1400000
كيا سبورتاج 2024,2024,كيا,سبورتاج,أوتوماتيك,مستعملة,19600,Gray,SUV,Gas,1600.0,1925000
سيات توليدو 2015,2015,سيات,توليدو,أوتوماتيك,مستعملة,195000,Maroon,Sedan,Diesel,1600.0,595000
تويوتا كورولا 2021,2021,تويوتا,كورولا,أوتوماتيك,مستعملة,160000,Black,Sedan,Gas,1600.0,1050000
شيري اريزو 5 2021,2021,شيري,اريزو 5,مانيوال,مستعملة,320000,White,Sedan,Hybrid,1500.0,600000
شيفروليه ماليبو 2019,2019,شيفروليه,ماليبو,أوتوماتيك,مستعملة,14000,Blue,Sedan,Gas,1500.0,1300000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1400.0,2700000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1500.0,750000
مرسيدس B150 2007,2007,مرسيدس,B150,أوتوماتيك,مستعملة,159000,Gray,Hatchback,Gas,1500.0,480000
بورش كايين S 2009,2009,بورش,كايين S,أوتوماتيك,مستعملة,118000,Silver,SUV,Gas,4800.0,500000
فولكس فاجن تيجوان 2014,2014,فولكس فاجن,تيجوان,أوتوماتيك,مستعملة,198000,Gray,SUV,Gas,1400.0,835000
مرسيدس C180 2023,2023,مرسيدس,C180,أوتوماتيك,مستعملة,23890,White,Cabriolet,Gas,1600.0,3650000
بي ام دبليو 318i 2019,2019,بي ام دبليو,318i,أوتوماتيك,مستعملة,175000,Black,Sedan,Gas,1500.0,1200000
بيجو 408 2025,2025,بيجو,408,أوتوماتيك,مستعملة,3200,Gray,SUV,Gas,1600.0,2000000
شيفروليه اوبترا 2018,2018,شيفروليه,اوبترا,أوتوماتيك,مستعملة,130000,Black,Sedan,Gas,1500.0,400000
مرسيدس GLC 200 2020,2020,مرسيدس,GLC 200,أوتوماتيك,مستعملة,56000,White,Coupe,Hybrid,2000.0,3250000
تويوتا ياريس 2008,2008,تويوتا,ياريس,أوتوماتيك,مستعملة,165000,Red,Sedan,Gas,1300.0,450000
فولكس فاجن باسات 2022,2022,فولكس فاجن,باسات,أوتوماتيك,جديدة,0,Navy Blue,Sedan,Gas,1400.0,2250000
نيسان سنترا 2016,2016,نيسان,سنترا,أوتوماتيك,مستعملة,187000,Bronze,Sedan,Gas,1600.0,520000
بايك U5 Plus 2025,2025,بايك,U5 Plus,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,845000
أودي A3 2024,2024,أودي,A3,أوتوماتيك,مستعملة,22000,Gray,Sedan,Gas,1400.0,2000000
تويوتا كورولا 2025,2025,تويوتا,كورولا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,1450000
سكودا كودياك 2023,2023,سكودا,كودياك,أوتوماتيك,مستعملة,10000,Silver,SUV,Gas,2000.0,2850000
فيات 500X 2024,2024,فيات,500X,أوتوماتيك,جديدة,0,Blue,Hatchback,Gas,1400.0,900000
كيا سبورتاج 2022,2022,كيا,سبورتاج,أوتوماتيك,مستعملة,19000,Maroon,SUV,Gas,1600.0,1750000
بي ام دبليو 320i 2024,2024,بي ام دبليو,320i,أوتوماتيك,مستعملة,28000,White,Sedan,Gas,1600.0,2900000
أودي A4 2023,2023,أودي,A4,أوتوماتيك,مستعملة,78000,Gray,Sedan,Gas,2000.0,2200000
كايي X7 2026,2026,كايي,X7,أوتوماتيك,جديدة,0,Black,SUV,Gas,1600.0,1395000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,715000
ساوايست S 09 2026,2026,ساوايست,S 09,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1600.0,1500000
أودي Q3 2025,2025,أودي,Q3,أوتوماتيك,مستعملة,6000,Black,Hatchback,Gas,1400.0,2650000
جيتور داشينج 2024,2024,جيتور,داشينج,أوتوماتيك,مستعملة,17000,Gray,SUV,Gas,1500.0,1130000
رينج روفر فيلار 2020,2020,رينج روفر,فيلار,أوتوماتيك,مستعملة,127000,Gray,SUV,Gas,2000.0,2950000
مرسيدس GLA 200 2017,2017,مرسيدس,GLA 200,أوتوماتيك,مستعملة,198000,Silver,SUV,Gas,1600.0,1350000
ميتسوبيشي اكسباندر 2026,2026,ميتسوبيشي,اكسباندر,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1370000
بي ام دبليو X6 2017,2017,بي ام دبليو,X6,أوتوماتيك,مستعملة,118000,Navy Blue,SUV,Gas,4400.0,2700000
سكودا اوكتافيا A8 2022,2022,سكودا,اوكتافيا A8,أوتوماتيك,مستعملة,100000,Gray,Sedan,Gas,1400.0,1350000
بي ام دبليو 316i 2010,2010,بي ام دبليو,316i,أوتوماتيك,مستعملة,211000,Silver,Sedan,Gas,1600.0,700000
ستروين C3 2009,2009,ستروين,C3,أوتوماتيك,مستعملة,174000,Silver,Hatchback,Gas,1600.0,290000
إم جي HS 2022,2022,إم جي,HS,أوتوماتيك,مستعملة,39000,White,SUV,Gas,1500.0,1250000
كيا سيراتو 2017,2017,كيا,سيراتو,أوتوماتيك,مستعملة,250000,Navy Blue,Sedan,Gas,1600.0,750000
مرسيدس C180 2003,2003,مرسيدس,C180,أوتوماتيك,مستعملة,281,Silver,Sedan,Gas,1800.0,520000
نيسان قشقاي 2017,2017,نيسان,قشقاي,أوتوماتيك,مستعملة,141000,Black,SUV,Gas,1200.0,740000
مازدا 3 2013,2013,مازدا,3,أوتوماتيك,مستعملة,357000,Gray,Sedan,Gas,1600.0,450000
جاك S4 2021,2021,جاك,S4,أوتوماتيك,مستعملة,144000,White,SUV,Gas,1500.0,650000
جيب رانجلر 2016,2016,جيب,رانجلر,أوتوماتيك,مستعملة,140000,Gray,SUV,Gas,3600.0,1650000
إم جي RX5 2025,2025,إم جي,RX5,أوتوماتيك,جديدة,0,Black,SUV,Gas,1500.0,1350000
فيات 500X 2021,2021,فيات,500X,أوتوماتيك,مستعملة,15000,Red,SUV,Gas,1400.0,900000
جاكوار F-PACE 2024,2024,جاكوار,F-PACE,أوتوماتيك,مستعملة,8000,White,SUV,Gas,2000.0,4400000
رينو كليو 2005,2005,رينو,كليو,أوتوماتيك,مستعملة,186000,Silver,Sedan,Gas,1600.0,190000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,16000,Blue,Sedan,Hybrid,1600.0,2850000
أوبل أسترا 2021,2021,أوبل,أسترا,أوتوماتيك,مستعملة,140000,Black,Sedan,Gas,1400.0,715000
نيسان صني 2023,2023,نيسان,صني,أوتوماتيك,مستعملة,77000,Bronze,Sedan,Gas,1600.0,650000
رينو ميجان 2021,2021,رينو,ميجان,أوتوماتيك,مستعملة,96000,Silver,Coupe,Gas,1600.0,690000
أودي Q3 2022,2022,أودي,Q3,أوتوماتيك,مستعملة,42560,Blue,SUV,Gas,1400.0,2150000
بي ام دبليو X3 2015,2015,بي ام دبليو,X3,أوتوماتيك,مستعملة,510000,Silver,SUV,Gas,2000.0,1150000
فولكس فاجن تيجوان 2024,2024,فولكس فاجن,تيجوان,أوتوماتيك,مستعملة,21000,Dark Grey,SUV,Gas,1400.0,2180000
بورش كايين كوبيه 2022,2022,بورش,كايين كوبيه,أوتوماتيك,مستعملة,5800,Gray,Coupe,Gas,4000.0,2000000
رينو كادجار 2020,2020,رينو,كادجار,أوتوماتيك,مستعملة,140000,Green,SUV,Gas,1200.0,850000
ستروين C4 جراند بيكاسو 2016,2016,ستروين,C4 جراند بيكاسو,أوتوماتيك,مستعملة,151000,Gray,SUV,Gas,1600.0,950000
تويوتا كورولا 2010,2010,تويوتا,كورولا,أوتوماتيك,مستعملة,235000,Gray,Sedan,Gas,1600.0,535000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,900000
كيا سبورتاج 2026,2026,كيا,سبورتاج,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1965000
إم جي 7 2026,2026,إم جي,7,أوتوماتيك,مستعملة,4500,Green,Sedan,Gas,1600.0,1560000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,715000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1500.0,740000
كيا سورينتو 2023,2023,كيا,سورينتو,أوتوماتيك,مستعملة,16500,White,SUV,Hybrid,1600.0,2550000
كايي X3 Pro 2026,2026,كايي,X3 Pro,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,860000
شيفروليه كروز 2010,2010,شيفروليه,كروز,أوتوماتيك,مستعملة,206000,Silver,Sedan,Gas,1500.0,390000
إم جي HS 2026,2026,إم جي,HS,أوتوماتيك,جديدة,0,Red,SUV,Hybrid,1500.0,1575000
مازدا 3 2014,2014,مازدا,3,أوتوماتيك,مستعملة,253000,Black,Sedan,Gas,1600.0,535000
إم جي HS 2026,2026,إم جي,HS,أوتوماتيك,جديدة,0,Red,SUV,Gas,1500.0,1450000
رينو ميجان 2017,2017,رينو,ميجان,أوتوماتيك,مستعملة,155000,Black,Hatchback,Gas,1600.0,650000
إم جي 7 2026,2026,إم جي,7,أوتوماتيك,جديدة,0,Green,Sedan,Gas,1500.0,1500000
فيات تيبو 2018,2018,فيات,تيبو,أوتوماتيك,مستعملة,220000,Bronze,Sedan,Gas,1600.0,570000
كايي X3 2026,2026,كايي,X3,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,860000
فورد كوجا 2016,2016,فورد,كوجا,أوتوماتيك,مستعملة,58000,Black,SUV,Gas,1600.0,800000
كرايسلر فوياجر 2000,2000,كرايسلر,فوياجر,أوتوماتيك,مستعملة,325000,Black,SUV,Gas,3800.0,250000
كيا ريو 2001,2001,كيا,ريو,مانيوال,مستعملة,9999,Silver,Hatchback,Gas,1300.0,250000
بيجو 2008 2020,2008,بيجو,2020,أوتوماتيك,مستعملة,52757,White,Hatchback,Gas,1600.0,950000
تويوتا كورولا 2015,2015,تويوتا,كورولا,أوتوماتيك,مستعملة,74000,Gray,Sedan,Gas,1600.0,800000
أودي A3 2015,2015,أودي,A3,أوتوماتيك,مستعملة,216000,Red,Sedan,Gas,1400.0,950000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1500.0,740000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,890000
أودي Q7 2025,2025,أودي,Q7,أوتوماتيك,جديدة,0,Silver,SUV,Gas,2000.0,5550000
شيري تيجو 4 برو 2026,2026,شيري,تيجو 4 برو,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,885000
أوبل كورسا 2005,2005,أوبل,كورسا,مانيوال,مستعملة,326000,Black,Sedan,Gas,1600.0,210000
بورش ماكان 2022,2022,بورش,ماكان,أوتوماتيك,مستعملة,14000,Blue,SUV,Gas,2000.0,4150000
بي ام دبليو 235i 2024,2024,بي ام دبليو,235i,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,4750000
بي ام دبليو X5 2024,2024,بي ام دبليو,X5,أوتوماتيك,مستعملة,15000,Black,SUV,Gas,4400.0,6750000
شيري تيجو 4 برو 2026,2026,شيري,تيجو 4 برو,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1500.0,990000
ميني كابريو 2016,2016,ميني,كابريو,أوتوماتيك,مستعملة,56000,Turquoise,Cabriolet,Gas,1500.0,1500000
بي ام دبليو X1 2025,2025,بي ام دبليو,X1,أوتوماتيك,جديدة,0,Blue,SUV,Gas,1500.0,3300000
إم جي 7 2025,2025,إم جي,7,أوتوماتيك,جديدة,0,Dark Grey,Sedan,Gas,1500.0,1550000
سكودا سوبيرب 2025,2025,سكودا,سوبيرب,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1400.0,1950000
تويوتا فورتشنر 2016,2016,تويوتا,فورتشنر,أوتوماتيك,مستعملة,110000,White,Hatchback,Gas,4000.0,1950000
نيسان قشقاي 2019,2019,نيسان,قشقاي,أوتوماتيك,مستعملة,137000,Brown,SUV,Gas,1200.0,830000
كيا سورينتو 2025,2025,كيا,سورينتو,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1600.0,3300000
ستروين سى اليزيه 2021,2021,ستروين,سى اليزيه,أوتوماتيك,مستعملة,200000,Black,Sedan,Gas,1600.0,550000
بايك BJ30 2026,2026,بايك,BJ30,أوتوماتيك,جديدة,0,Silver,SUV,Hybrid,1500.0,1675000
تويوتا فورتشنر 2026,2026,تويوتا,فورتشنر,أوتوماتيك,جديدة,0,Black,SUV,Gas,4000.0,3530000
ساوايست S 05 2026,2026,ساوايست,S 05,أوتوماتيك,جديدة,0,White,SUV,Gas,1500.0,950000
هيونداى افانتي 2024,2024,هيونداى,افانتي,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1600.0,1550000
شيري اريزو 5 فيس ليفت 2026,2026,شيري,اريزو 5 فيس ليفت,أوتوماتيك,جديدة,0,Gray,Sedan,Gas,1500.0,750000
كيا سورينتو 2024,2024,كيا,سورينتو,أوتوماتيك,جديدة,0,White,SUV,Hybrid,1600.0,2700000
بيجو 508 2022,2022,بيجو,508,أوتوماتيك,مستعملة,53000,Navy Blue,Sedan,Gas,1600.0,1200000
سانج يونج توريس 2025,2025,سانج يونج,توريس,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1500.0,1970000
كوبرا تيرامار  2026,2026,كوبرا,تيرامار,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1400.0,2140000
فولكس فاجن تيجوان 2026,2026,فولكس فاجن,تيجوان,أوتوماتيك,جديدة,0,Silver,SUV,Gas,1400.0,2280000
إم جي 5 2025,2025,إم جي,5,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,1150000
سكودا كودياك 2026,2026,سكودا,كودياك,أوتوماتيك,جديدة,0,Navy Blue,SUV,Gas,1400.0,2330000
فولكس فاجن جيتا 2012,2012,فولكس فاجن,جيتا,أوتوماتيك,مستعملة,189000,Navy Blue,Sedan,Gas,1400.0,750000
مرسيدس CLA 200 2023,2023,مرسيدس,CLA 200,أوتوماتيك,مستعملة,60000,Black,Coupe,Gas,1400.0,2550000
بي ام دبليو X2 2020,2020,بي ام دبليو,X2,أوتوماتيك,مستعملة,123000,Blue,SUV,Gas,1500.0,1350000
بيجو 5008 2020,2020,بيجو,5008,أوتوماتيك,مستعملة,155000,Gray,SUV,Gas,1600.0,1500000
بي ام دبليو 218i 2020,2020,بي ام دبليو,218i,أوتوماتيك,مستعملة,153000,Gray,Cabriolet,Gas,1500.0,1350000
نيسان صني 2019,2019,نيسان,صني,أوتوماتيك,مستعملة,140000,Silver,Sedan,Gas,1500.0,450000
مرسيدس C200 2022,2022,مرسيدس,C200,أوتوماتيك,مستعملة,48000,White,Sedan,Gas,1500.0,3075000
فولكس فاجن جولف 7 2014,2014,فولكس فاجن,جولف 7,أوتوماتيك,مستعملة,197000,Navy Blue,Hatchback,Gas,1500.0,1070000
فولفو XC 90 2019,2019,فولفو,XC 90,أوتوماتيك,مستعملة,185000,Black,SUV,Gas,2000.0,2500000
كوبرا فورمينتور 2024,2024,كوبرا,فورمينتور,أوتوماتيك,مستعملة,29000,Black,SUV,Gas,2000.0,2000000
بي ام دبليو 520i 2018,2018,بي ام دبليو,520i,أوتوماتيك,مستعملة,170000,Black,Sedan,Gas,2000.0,1850000
مرسيدس E200 2025,2025,مرسيدس,E200,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,4650000
نيسان قشقاي 2013,2013,نيسان,قشقاي,أوتوماتيك,مستعملة,105000,White,SUV,Gas,1500.0,690000
رينج روفر سبورت 2021,2021,رينج روفر,سبورت,أوتوماتيك,مستعملة,77000,White,SUV,Gas,2000.0,4590000
نيسان قشقاي 2018,2018,نيسان,قشقاي,أوتوماتيك,مستعملة,112000,Silver,SUV,Gas,1200.0,785000
مرسيدس GLA 200 2026,2026,مرسيدس,GLA 200,أوتوماتيك,جديدة,0,Black,Hatchback,Gas,1300.0,3380000
هيونداى أكسنت 2006,2006,هيونداى,أكسنت,أوتوماتيك,مستعملة,196,Maroon,Sedan,Gas,1500.0,400000
مرسيدس GLA 200 2026,2026,مرسيدس,GLA 200,أوتوماتيك,جديدة,0,White,Hatchback,Gas,1300.0,3380000
مرسيدس E200 2025,2025,مرسيدس,E200,أوتوماتيك,جديدة,0,White,Sedan,Gas,2000.0,4650000
بي ام دبليو X2 2025,2025,بي ام دبليو,X2,أوتوماتيك,مستعملة,8000,Red,SUV,Gas,1500.0,3100000
ستروين C3 2003,2003,ستروين,C3,مانيوال,مستعملة,73000,Silver,Hatchback,Gas,1400.0,235000
مرسيدس C180 2022,2022,مرسيدس,C180,أوتوماتيك,مستعملة,40000,Gray,Sedan,Gas,1500.0,2550000
لاند روفر ديفيندر 2020,2020,لاند روفر,ديفيندر,أوتوماتيك,مستعملة,10000,White,SUV,Gas,3000.0,6350000
مرسيدس E 180 2019,2019,مرسيدس,E 180,أوتوماتيك,مستعملة,200000,Black,Sedan,Gas,1800.0,2250000
تويوتا فورتشنر 2026,2026,تويوتا,فورتشنر,أوتوماتيك,جديدة,0,Black,SUV,Gas,4000.0,3500000
شيري تيجو 8  برو ماكس 2026,2026,شيري,تيجو 8 برو ماكس,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1590000
رينو ميجان 2018,2018,رينو,ميجان,أوتوماتيك,مستعملة,83000,Brown,Sedan,Gas,1600.0,630000
سكودا كودياك 2024,2024,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,2450000
شانجان UNI-V 2026,2026,شانجان,UNI-V,أوتوماتيك,جديدة,0,Beige,Sedan,Gas,1500.0,1260000
سكودا كودياك 2024,2024,سكودا,كودياك,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,2450000
شانجان UNI-V 2026,2026,شانجان,UNI-V,أوتوماتيك,جديدة,0,White,Sedan,Gas,1500.0,1240000
دايو لانوس 1998,1998,دايو,لانوس,أوتوماتيك,مستعملة,307000,Silver,Sedan,Natural Gas,1500.0,230000
جيلي سيتي راي 2026,2026,جيلي,سيتي راي,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1500.0,1250000
ميتسوبيشي لانسر بومة 2014,2014,ميتسوبيشي,لانسر بومة,أوتوماتيك,مستعملة,103565,Silver,Sedan,Gas,1600.0,650000
بي ام دبليو X3 2018,2018,بي ام دبليو,X3,أوتوماتيك,مستعملة,52000,Navy Blue,Hatchback,Gas,2000.0,2000000
هيونداى توسان 2026,2026,هيونداى,توسان,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1600.0,1885000
إم جي 7 2026,2026,إم جي,7,أوتوماتيك,جديدة,0,Green,Sedan,Gas,1500.0,1540000
بي ام دبليو X7 2020,2020,بي ام دبليو,X7,أوتوماتيك,مستعملة,35000,Gray,SUV,Gas,4400.0,5600000
شيفروليه الدبابة TFR 2026,2026,شيفروليه,الدبابة TFR,مانيوال,جديدة,0,White,Pickup,Gas,2500.0,970000
بايك BJ30 2026,2026,بايك,BJ30,أوتوماتيك,جديدة,0,Gray,SUV,Hybrid,1500.0,1640000
هيونداى أكسنت RB 2026,2026,هيونداى,أكسنت RB,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1600.0,850000
بي واى دى F3 2025,2025,بي واى دى,F3,مانيوال,جديدة,0,Blue,Sedan,Gas,1500.0,690000
شيري تيجو 7 2026,2026,شيري,تيجو 7,أوتوماتيك,جديدة,0,Navy Blue,SUV,Gas,1500.0,1010000
ساوايست S 07 2026,2026,ساوايست,S 07,أوتوماتيك,جديدة,0,Gray,SUV,Gas,1600.0,1400000
إم جي 5 2026,2026,إم جي,5,أوتوماتيك,جديدة,0,Red,Sedan,Gas,1500.0,885000
شيفروليه اوبترا 2026,2026,شيفروليه,اوبترا,أوتوماتيك,جديدة,0,Navy Blue,Sedan,Gas,1500.0,740000
سكودا اوكتافيا A8 2026,2026,سكودا,اوكتافيا A8,أوتوماتيك,جديدة,0,Silver,Sedan,Gas,1400.0,1600000
شينراي X30 2026,2026,شينراي,X30,مانيوال,جديدة,0,Silver,Van,Gas,1500.0,580000
إم جي ZS 2026,2026,إم جي,ZS,أوتوماتيك,جديدة,0,Red,SUV,Gas,1500.0,1085000
نيسان صني 2026,2026,نيسان,صني,أوتوماتيك,جديدة,0,Black,Sedan,Gas,1500.0,770000
إم جي RX5 Plus 2026,2026,إم جي,RX5 Plus,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1500.0,1390000
كايي X7 2026,2026,كايي,X7,أوتوماتيك,جديدة,0,Dark Grey,SUV,Gas,1500.0,1395000
ساوايست S 06 2026,2026,ساوايست,S 06,أوتوماتيك,جديدة,0,White,SUV,Gas,1600.0,1375000
بروتون ساجا 2026,2026,بروتون,ساجا,أوتوماتيك,جديدة,0,Blue,Sedan,Gas,1300.0,640000
رينو كابتشر 2018,2018,رينو,كابتشر,أوتوماتيك,مستعملة,69000,Black,SUV,Gas,1200.0,575000
